time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050731:0348,35,0,57.03,1.78,46.86,21.66,2.48,0
20050731:0448,95.94,0,132.87,1.81,60.73,21.78,2.9,0
20050731:0548,53.62,0,82.46,0.31,74.5,21.84,2.83,0
20050731:0648,67.95,0,100.87,0.03,85.86,22.51,2.83,0
20050731:0748,75.6,0,110.38,0.32,76.25,23.19,2.62,0
20050731:0848,178.2,0,232.98,2.79,62.53,23.33,3.1,0
20050731:0948,147.78,0,192.43,5.48,48.66,23.12,3.79,0
20050731:1048,18.24,0,34.52,1.89,34.84,22.8,3.1,0
20050731:1148,9.17,0,21.06,1.98,21.17,22.84,2.9,0
20050731:1248,13.77,7.44,19.41,2.86,7.72,22.55,2.48,0
20050731:1348,0,0,0,0,0,22.24,2.48,0
20050731:1448,0,0,0,0,0,22.01,2.21,0
20050731:1548,0,0,0,0,0,21.79,1.93,0
20050731:1648,0,0,0,0,0,21.75,1.93,0
20050731:1748,0,0,0,0,0,21.63,1.66,0
20050731:1848,0,0,0,0,0,21.8,1.59,0
20050731:1948,0,0,0,0,0,21.71,1.66,0
20050731:2048,0,0,0,0,0,21.63,1.52,0
20050731:2148,0,0,0,0,0,21.5,1.03,0
20050731:2248,0,0,0,0,0,21.44,0.83,0
20050731:2348,0,0,0,0,0,21.43,0.48,0
20050801:0048,3.49,0,11.55,1.88,5.92,21.38,0.21,0
20050801:0148,17.39,0,31.88,3.21,19.34,21.63,0.69,0
20050801:0248,109.51,5.51,137.51,8.2,33,22.07,1.38,0
20050801:0348,372.36,142.63,320.65,12.05,46.81,22.59,1.79,0
20050801:0448,177.52,0,232.01,3.18,60.68,22.9,2.07,0
20050801:0548,170.39,0,225.75,0.84,74.43,22.92,2.28,0
20050801:0648,507.33,173.51,491.76,0.19,85.62,24.12,1.66,0
20050801:0748,330.43,22.66,404.51,1.26,76.15,24.27,2.41,0
20050801:0848,280.83,16.92,340.78,4.25,62.46,23.44,3.17,0
20050801:0948,125.89,0,166.99,4.77,48.59,23.34,3.24,0
20050801:1048,37.87,0,59.59,3.27,34.77,23.33,3.38,0
20050801:1148,148.21,63.94,120.36,11.14,21.08,22.44,2.83,0
20050801:1248,60.27,45.23,39.18,4.68,7.62,22.08,2.55,0
20050801:1348,0,0,0,0,0,21.87,2.9,0
20050801:1448,0,0,0,0,0,21.89,2.83,0
20050801:1548,0,0,0,0,0,21.88,2.97,0
20050801:1648,0,0,0,0,0,21.79,3.52,0
20050801:1748,0,0,0,0,0,21.55,3.1,0
20050801:1848,0,0,0,0,0,21.32,2.41,0
20050801:1948,0,0,0,0,0,21.15,2.34,0
20050801:2048,0,0,0,0,0,21.03,2.28,0
20050801:2148,0,0,0,0,0,20.89,2.28,0
20050801:2248,0,0,0,0,0,20.8,2.41,0
20050801:2348,0,0,0,0,0,20.79,2.9,0
20050802:0048,11.17,9.83,13.66,2.07,5.84,20.77,3.24,0
20050802:0148,22.2,0,37.83,3.82,19.28,20.98,2.48,0
20050802:0248,166.91,33.09,173.86,10.67,32.95,21.12,3.59,0
20050802:0348,390.83,152.35,322.38,12.27,46.77,21.73,5.17,0
20050802:0448,545.94,279.97,399.06,8.25,60.63,22.88,5.38,0
20050802:0548,263.18,4.15,332.78,1.27,74.36,23.34,5.31,0
20050802:0648,506.06,151.49,491.66,0.21,85.37,22.75,4.34,0
20050802:0748,605.52,331.79,439.47,2.24,76.05,23.21,4.41,0
20050802:0848,622.72,410.81,377.43,8.33,62.38,24,4.55,0
20050802:0948,296.11,60.07,309.01,9.71,48.52,24.69,4.69,0
20050802:1048,252.69,86.1,224.09,13.27,34.69,24.62,4.55,0
20050802:1148,313.14,212.16,167.18,14.89,20.99,24.2,3.66,0
20050802:1248,51.84,38.21,36.63,4.52,7.52,23.82,3.59,0
20050802:1348,0,0,0,0,0,23.28,3.24,0
20050802:1448,0,0,0,0,0,22.89,3.17,0
20050802:1548,0,0,0,0,0,22.56,3.31,0
20050802:1648,0,0,0,0,0,22.1,3.24,0
20050802:1748,0,0,0,0,0,21.9,3.24,0
20050802:1848,0,0,0,0,0,21.71,2.9,0
20050802:1948,0,0,0,0,0,21.62,2.9,0
20050802:2048,0,0,0,0,0,21.5,2.62,0
20050802:2148,0,0,0,0,0,21.41,2.55,0
20050802:2248,0,0,0,0,0,21.35,2.48,0
20050802:2348,0,0,0,0,0,21.29,2.41,0
20050803:0048,0,0,3.29,0.54,5.76,21.28,2.28,0
20050803:0148,43.42,3.04,60.25,6.11,19.21,21.38,2.28,0
20050803:0248,166.37,33.14,173.81,10.69,32.9,21.84,3.66,0
20050803:0348,164.71,4.12,206.85,6.58,46.72,22.53,3.93,0
20050803:0448,325.92,43.62,366.04,5.48,60.59,22.78,3.79,0
20050803:0548,212.07,0,275.71,1.05,74.29,23.23,3.86,0
20050803:0648,293.77,7.03,372.34,0.14,85.12,23.99,3.45,0
20050803:0748,306.6,13.4,382.44,1.2,75.94,24.62,3.24,0
20050803:0848,540.52,280.1,412.93,7.56,62.3,24.68,2.83,0
20050803:0948,431.16,192.45,346.62,12.64,48.44,24.76,3.1,0
20050803:1048,94.39,0,126.83,7,34.6,24.21,3.1,0
20050803:1148,257.7,159.81,153.19,13.77,20.9,23.52,2.97,0
20050803:1248,23.95,15.51,24.77,3.48,7.41,22.95,2.83,0
20050803:1348,0,0,0,0,0,22.59,2.48,0
20050803:1448,0,0,0,0,0,22.37,2.34,0
20050803:1548,0,0,0,0,0,22.17,2.41,0
20050803:1648,0,0,0,0,0,21.85,2.48,0
20050803:1748,0,0,0,0,0,21.5,2.69,0
20050803:1848,0,0,0,0,0,21.31,2.41,0
20050803:1948,0,0,0,0,0,20.96,2.07,0
20050803:2048,0,0,0,0,0,20.89,1.79,0
20050803:2148,0,0,0,0,0,21,1.93,0
20050803:2248,0,0,0,0,0,21.01,2.41,0
20050803:2348,0,0,0,0,0,20.9,2.69,0
20050804:0048,10.45,10.1,12.46,1.89,5.68,20.86,2.76,0
20050804:0148,23.8,0,39.76,4.03,19.15,20.9,2.9,0
20050804:0248,59.11,0,83.94,4.99,32.85,20.97,3.52,0
20050804:0348,136.63,0,176.91,5.59,46.68,21.15,4.83,0
20050804:0448,77.5,0,110.32,1.53,60.54,21.44,4.48,0
20050804:0548,125.66,0,169.71,0.65,74.21,21.78,4.69,0
20050804:0648,109.89,0,151.69,0.06,84.87,21.93,3.38,0
20050804:0748,80.91,0,116.19,0.36,75.82,22.19,4.14,0
20050804:0848,76.01,0,109.27,1.34,62.21,22.64,4.48,0
20050804:0948,71.62,0,102.13,2.96,48.35,22.73,4.41,0
20050804:1048,54.17,0,79.01,4.38,34.51,22.73,4,0
20050804:1148,24.61,0,41.25,3.93,20.8,22.62,3.24,0
20050804:1248,1.31,0,7.87,1.22,7.3,22.32,2.69,0
20050804:1348,0,0,0,0,0,22.07,2.97,0
20050804:1448,0,0,0,0,0,21.86,2.9,0
20050804:1548,0,0,0,0,0,21.79,2.62,0
20050804:1648,0,0,0,0,0,21.65,2.62,0
20050804:1748,0,0,0,0,0,21.55,2.76,0
20050804:1848,0,0,0,0,0,21.75,2.83,0
20050804:1948,0,0,0,0,0,21.69,2.97,0
20050804:2048,0,0,0,0,0,21.43,2.69,0
20050804:2148,0,0,0,0,0,21.44,2.62,0
20050804:2248,0,0,0,0,0,21.4,2.62,0
20050804:2348,0,0,0,0,0,21.38,2.55,0
20050805:0048,10.05,10.24,11.85,1.8,5.6,21.32,2.55,0
20050805:0148,5.81,0,15.89,1.62,19.09,21.46,2.14,0
20050805:0248,31.25,0,50.8,3.03,32.79,21.47,2.21,0
20050805:0348,63.12,0,91.45,2.89,46.63,21.69,2.55,0
20050805:0448,72.54,0,104.69,1.45,60.49,21.87,2.97,0
