time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20151127:1200,24.34,55.8,0,0,0,386.8,1.24,246,90170
20151127:1300,22.85,67.05,0,0,0,378,0.97,224,90232
20151127:1400,22.31,65.45,0,0,0,376.4,0.97,197,90295
20151127:1500,21.25,70,0,0,0,373.6,1.1,180,90384
20151127:1600,20.65,74.35,0,0,0,392,1.17,176,90411
20151127:1700,20.36,75.1,0,0,0,391.8,1.17,176,90420
20151127:1800,20.01,75.65,0,0,0,381.4,1.17,179,90393
20151127:1900,19.27,78.6,0,0,0,364.6,1.38,181,90420
20151127:2000,18.98,79.05,0,0,0,366.2,1.31,187,90402
20151127:2100,18.94,79.2,0,0,0,372.8,1.17,192,90402
20151127:2200,19.23,77.65,0,0,0,380,0.97,192,90393
20151127:2300,19.84,71.9,0,0,0,369.6,0.62,181,90411
20151128:0000,19.88,70.65,0,0,0,361.4,0.41,163,90482
20151128:0100,19.55,72.4,0,0,0,359.65,0.28,108,90536
20151128:0200,19.33,75,60,66.52,51,371.6,0.34,76,90652
20151128:0300,21.44,71.25,251,314.06,145,378.6,0.48,109,90714
20151128:0400,23.07,63.55,461,563.73,175,377.4,1.24,145,90768
20151128:0500,24.44,56.75,614,660.16,196,372,2.34,169,90732
20151128:0600,25.49,52.05,719,762.95,180,377.6,3.03,182,90688
20151128:0700,24.99,55.3,734,754.64,189,391.85,3.72,192,90580
20151128:0800,25.63,52.3,682,736.04,182,388,3.59,198,90509
20151128:0900,25.63,51.45,489,411.55,250,386,3.24,197,90464
20151128:1000,25.22,52.6,395,597.93,136,382.8,2.97,193,90464
20151128:1100,24.77,53.9,151,170.27,109,393.85,2.28,182,90464
20151128:1200,23.73,57.85,0,0,0,394.85,1.79,163,90500
20151128:1300,22.65,62.2,0,0,0,380.8,1.86,153,90563
20151128:1400,22.03,65.3,0,0,0,385,1.86,152,90697
20151128:1500,21.52,68.05,0,0,0,381.6,2,151,90750
20151128:1600,21.04,70.55,0,0,0,376.6,2,148,90795
20151128:1700,20.52,73.1,0,0,0,367.8,2,147,90795
20151128:1800,20.16,75.1,0,0,0,369,1.86,148,90804
20151128:1900,19.56,80.85,0,0,0,364,1.79,148,90786
20151128:2000,19.12,83.35,0,0,0,361.6,1.59,148,90759
20151128:2100,18.97,84.55,0,0,0,372.2,1.45,149,90706
20151128:2200,18.53,86.85,0,0,0,360,1.52,151,90723
20151128:2300,18.61,86.65,0,0,0,374.2,1.52,148,90714
20151129:0000,18.37,87.8,0,0,0,365.4,1.52,144,90786
20151129:0100,17.91,90.4,0,0,0,357.05,1.45,141,90839
20151129:0200,18.29,91.2,52,0,52,354.4,1.17,138,90911
20151129:0300,22.01,74.25,283,492.86,118,361,1.17,142,90973
20151129:0400,23.8,63,475,632.15,156,375.8,2,151,91018
20151129:0500,24.94,57.1,628,727.88,169,379,2.48,157,91000
20151129:0600,25.72,53.4,717,761.23,181,387.4,2.34,157,90911
20151129:0700,25.99,54.65,740,783.13,176,399.65,1.86,163,90804
20151129:0800,26.39,52.15,692,777.65,165,390,1.66,155,90706
20151129:0900,26.55,51.05,558,660.89,175,387.8,1.66,145,90634
20151129:1000,26.38,50.3,386,552.74,147,389,1.93,138,90643
20151129:1100,24.57,54.9,151,170.52,109,387.6,1.31,114,90661
20151129:1200,23.41,61.55,0,0,0,397.45,0.83,31,90688
20151129:1300,22.08,69.9,0,0,0,379.6,0.83,34,90714
20151129:1400,20.87,79.5,0,0,0,373.6,0.9,54,90804
20151129:1500,20.3,82.45,0,0,0,381.2,0.97,88,90848
20151129:1600,19.74,83.25,0,0,0,374.2,1.1,115,90902
20151129:1700,19.32,83.4,0,0,0,372.6,1.17,122,90902
20151129:1800,18.97,83.2,0,0,0,371.6,1.24,121,90929
20151129:1900,18.72,82.05,0,0,0,363,1.52,144,90884
20151129:2000,18.05,84.45,0,0,0,353.2,1.45,142,90875
