time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120612:2300,24.1,85.45,0,0,0,401.25,0.83,297,89562
20120613:0000,23.87,86.55,0,0,0,402.05,0.83,295,89625
20120613:0100,24.45,86.15,86,157.49,61,398.45,0.69,293,89687
20120613:0200,26.89,69.9,296,444.03,128,408.05,0.97,292,89750
20120613:0300,28.3,62.55,525,643.87,150,419.65,1.24,293,89786
20120613:0400,29.55,58,719,715.96,177,422.85,1.38,296,89741
20120613:0500,30.52,54,878,779.53,184,430.65,1.31,281,89723
20120613:0600,31.79,49.55,957,756.35,221,436.65,1.52,281,89661
20120613:0700,32.24,48.65,994,780.13,214,441.45,1.86,222,89643
20120613:0800,32.97,45.25,962,782.52,204,443.65,2.07,214,89562
20120613:0900,33.04,44.3,733,429.84,354,446.45,2.07,217,89500
20120613:1000,32.36,45.7,681,633.62,209,454.85,1.59,236,89411
20120613:1100,29.79,58,481,528.54,181,436.85,1.86,277,89420
20120613:1200,27.78,70.2,275,411.8,126,431.45,1.45,323,89518
20120613:1300,27.62,69.35,75,162.4,52,428.25,0.07,93,89518
20120613:1400,27.34,70.5,0,0,0,427.45,1.03,169,89562
20120613:1500,27.1,71.95,0,0,0,421.05,0.9,191,89589
20120613:1600,26.73,74.15,0,0,0,421.65,0.97,190,89652
20120613:1700,26.42,76,0,0,0,420.85,1.1,195,89687
20120613:1800,26.03,78.05,0,0,0,415.65,1.17,204,89705
20120613:1900,26.24,71.85,0,0,0,418.25,1.93,229,89732
20120613:2000,25.8,74.35,0,0,0,414.85,1.86,241,89714
20120613:2100,25.49,76.1,0,0,0,417.85,1.93,256,89687
20120613:2200,25.11,77.75,0,0,0,418.45,2.62,265,89786
20120613:2300,24.58,79.6,0,0,0,416.85,2.55,266,89750
20120614:0000,24.04,82.05,0,0,0,406.05,1.86,272,89812
20120614:0100,24.07,82.75,74,94.78,59,401.85,1.86,280,89830
20120614:0200,25.28,77.9,275,346.72,144,402.05,1.93,288,89857
20120614:0300,27.2,70.3,482,479.47,203,408.25,2.28,290,89857
20120614:0400,29.14,62.4,688,615.94,222,417.45,2.55,293,89839
20120614:0500,30.55,57.1,854,710.17,222,426.85,2.34,292,89795
20120614:0600,31.75,53.4,952,742.11,230,435.45,2.21,287,89723
20120614:0700,32.31,49.95,994,780.14,214,444.05,2,287,89679
20120614:0800,32.5,49,782,372.6,421,452.65,2.07,283,89607
20120614:0900,30.61,58.65,352,12.47,341,446.65,1.45,243,89545
20120614:1000,27.84,75,290,12.07,281,445.05,1.31,176,89545
20120614:1100,26.69,79.05,44,0,44,429.25,1.24,199,89473
20120614:1200,26.52,78,75,0,75,429.05,1.31,203,89491
20120614:1300,26.78,76.15,48,28.04,44,426.05,0.76,200,89491
20120614:1400,26.65,77.05,0,0,0,426.65,1.17,204,89589
20120614:1500,26.45,78.2,0,0,0,422.05,1.17,210,89652
20120614:1600,26.4,77.8,0,0,0,423.85,1.45,221,89696
20120614:1700,26.43,77.05,0,0,0,422.45,1.72,231,89732
20120614:1800,26.36,77.15,0,0,0,422.45,1.86,252,89714
20120614:1900,26.69,71.55,0,0,0,418.65,1.93,251,89679
20120614:2000,26.42,71.9,0,0,0,415.25,2.21,258,89652
20120614:2100,26.2,71.7,0,0,0,416.65,2.34,262,89589
20120614:2200,25.92,71.95,0,0,0,413.25,2.41,263,89643
20120614:2300,25.59,72.95,0,0,0,412.45,2.34,269,89616
20120615:0000,25.36,73.8,0,0,0,412.05,2.41,282,89670
20120615:0100,25.43,75.4,29,0,29,408.65,2.28,288,89696
20120615:0200,26.32,72.65,166,45.06,149,408.05,3.31,291,89750
20120615:0300,27.65,68.3,475,459.28,208,413.25,3.72,295,89768
20120615:0400,29.21,62,679,592.53,231,421.05,4.14,303,89759
20120615:0500,30.04,60.35,844,683.48,236,429.45,3.72,304,89723
20120615:0600,30.86,58.8,936,701.14,254,439.25,3.45,301,89679
20120615:0700,30.56,59.7,941,644.12,297,440.85,3.03,298,89634
20120615:0800,30.85,58.8,354,5.16,349,441.85,2.62,300,89580
20120615:0900,29.87,62.1,555,142.77,429,440.85,2.07,307,89554
20120615:1000,30.47,58.9,78,0,78,445.85,2.55,294,89446
20120615:1100,30.65,55.75,57,0,57,438.85,2.41,284,89402
20120615:1200,29.52,58.6,39,0,39,439.05,2.14,286,89330
20120615:1300,29.13,59.65,32,0,32,430.05,1.1,260,89402
20120615:1400,28.54,62.3,0,0,0,429.25,1.1,239,89473
20120615:1500,27.95,64.25,0,0,0,423.85,1.45,236,89509
20120615:1600,27.54,65.15,0,0,0,423.65,1.52,240,89589
20120615:1700,27.18,65.15,0,0,0,418.05,1.79,243,89616
20120615:1800,27.08,63,0,0,0,419.25,2.34,249,89598
20120615:1900,26.8,61.6,0,0,0,422.25,2.48,260,89545
20120615:2000,26.67,60.25,0,0,0,417.45,2.97,270,89509
20120615:2100,26.54,61,0,0,0,426.05,3.31,277,89455
20120615:2200,26.26,63.55,0,0,0,426.65,3.52,280,89562
20120615:2300,25.87,66.8,0,0,0,424.45,3.72,284,89536
20120616:0000,25.38,70.4,0,0,0,419.65,3.86,286,89562
20120616:0100,25.17,74.1,84,152.73,60,414.45,3.59,286,89589
20120616:0200,25.57,72.75,147,23.9,138,410.85,4.34,284,89625
20120616:0300,26.45,68.15,368,177.35,265,410.65,4.48,283,89625
20120616:0400,27.86,61.25,641,483.07,276,415.05,4.55,282,89616
20120616:0500,29.1,55.85,699,348.63,389,420.45,4.48,283,89589
20120616:0600,30.51,51.05,827,451.41,388,426.05,4.28,282,89500
20120616:0700,31,49.85,865,479.09,386,431.25,3.86,277,89420
20120616:0800,32,46.6,978,826.39,177,434.05,3.86,278,89330
20120616:0900,32.21,46.1,785,547.02,302,440.85,3.66,275,89295
20120616:1000,32.22,46.25,164,0,164,446.65,3.52,271,89187
20120616:1100,31.12,49.1,88,0,88,453.25,3.72,263,89169
20120616:1200,29.21,56.75,115,8.23,112,439.85,2.69,223,89169
20120616:1300,28.84,57.85,41,13.83,39,438.85,1.1,234,89321
20120616:1400,28.37,59.55,0,0,0,428.65,1.52,239,89402
20120616:1500,28.11,59.65,0,0,0,430.25,2.62,243,89473
20120616:1600,27.87,59.25,0,0,0,427.05,3.31,258,89562
20120616:1700,27.42,61,0,0,0,423.65,3.86,271,89589
20120616:1800,26.59,66,0,0,0,423.65,3.93,268,89562
20120616:1900,23.78,87.85,0,0,0,418.45,2.62,244,89518
20120616:2000,23.5,90.2,0,0,0,418.85,3.24,259,89482
20120616:2100,23.27,91.95,0,0,0,415.25,3.31,270,89473
20120616:2200,23.08,92.75,0,0,0,418.45,3.24,276,89437
20120616:2300,23.01,92.5,0,0,0,424.45,3.52,279,89455
20120617:0000,22.84,92.7,0,0,0,424.05,3.24,279,89446
20120617:0100,22.83,93,61,51.11,53,420.65,3.1,276,89482
20120617:0200,23.17,92.6,206,119.68,161,426.45,2.55,276,89509
20120617:0300,23.45,91.7,444,363.69,233,427.85,2.62,281,89491
20120617:0400,24.19,87.95,640,483.39,275,430.25,2.76,290,89473
20120617:0500,25.12,82.3,782,526.53,314,433.65,3.03,288,89482
20120617:0600,25.32,81.7,816,430.93,397,437.05,2.83,278,89446
20120617:0700,27.08,68.5,876,501.09,375,452.45,3.31,280,89428
20120617:0800,27.73,67.4,699,242.4,464,442.05,3.24,274,89366
20120617:0900,28.27,65.8,523,109.81,426,438.85,3.45,273,89286
20120617:1000,28.49,65.15,62,0,62,437.45,3.17,270,89161
20120617:1100,28.41,65.2,44,0,44,434.65,3.03,266,89125
20120617:1200,28.21,65.9,43,0,43,438.45,2.34,261,89125
20120617:1300,27.81,67.75,29,0,29,433.85,2.07,252,89214
20120617:1400,27.09,70.55,0,0,0,432.25,2.28,248,89339
20120617:1500,26.22,74.4,0,0,0,430.45,2.34,238,89455
20120617:1600,25.21,78.85,0,0,0,422.25,2.48,231,89482
20120617:1700,24.74,80.85,0,0,0,419.45,1.93,241,89482
20120617:1800,24.59,81.3,0,0,0,420.65,2,259,89464
20120617:1900,23.3,91.3,0,0,0,415.05,1.86,240,89428
20120617:2000,23.23,91.05,0,0,0,406.85,2.41,258,89393
20120617:2100,23.29,91.05,0,0,0,413.65,2.83,269,89375
20120617:2200,23.1,91.85,0,0,0,408.25,2.83,279,89428
20120617:2300,23.02,91.9,0,0,0,411.45,2.62,285,89437
20120618:0000,22.97,91.5,0,0,0,410.25,2.62,284,89437
20120618:0100,23.14,91.25,33,0,33,410.05,2.62,285,89464
20120618:0200,23.84,87.7,98,0,98,404.85,3.79,288,89518
20120618:0300,24.9,80.75,239,22.43,226,417.85,4.55,292,89562
20120618:0400,26.29,72.3,427,98.07,353,420.25,4.76,299,89554
20120618:0500,27.42,66.65,564,148.57,432,426.85,4.28,303,89562
20120618:0600,27.96,65.7,707,249.97,464,440.45,3.59,300,89545
20120618:0700,26.15,72.15,662,169.03,493,439.25,2.34,305,89482
20120618:0800,26.04,74.1,267,0,267,435.05,2.28,306,89428
20120618:0900,26.15,74.35,76,0,76,434.85,2.69,306,89366
20120618:1000,26.13,73.95,62,0,62,434.85,2.62,304,89321
20120618:1100,26.21,72.9,55,0,55,434.85,2.69,300,89321
20120618:1200,26.15,73.1,33,0,33,433.45,2.14,295,89277
20120618:1300,25.99,74.05,15,0,15,431.45,1.31,283,89286
20120618:1400,25.49,77.35,0,0,0,429.85,1.24,261,89366
20120618:1500,24.81,82.2,0,0,0,426.25,1.66,264,89428
20120618:1600,24,89.4,0,0,0,427.45,1.93,258,89482
20120618:1700,23.68,91,0,0,0,424.25,2.07,263,89509
20120618:1800,23.47,91.1,0,0,0,421.85,2.21,266,89482
20120618:1900,23.07,90.45,0,0,0,419.45,2.21,274,89420
20120618:2000,23.24,86.05,0,0,0,417.65,2.34,277,89366
20120618:2100,23.09,84.05,0,0,0,410.85,2.28,283,89321
20120618:2200,23,84.15,0,0,0,412.65,2,282,89375
20120618:2300,22.74,85,0,0,0,413.05,2.21,284,89402
20120619:0000,22.59,85.15,0,0,0,415.25,2.76,289,89428
20120619:0100,22.47,86.35,49,19.34,46,408.05,3.31,292,89473
20120619:0200,22.78,86.7,217,149.48,161,411.45,3.31,294,89518
20120619:0300,23.49,84.6,295.8,187.34,187.35,412.45,4.07,292,89545
20120619:0400,23.77,85.6,465.95,310.73,231.65,423.05,4.34,292,89554
20120619:0500,24.69,83.55,603.9,362.75,281.75,418.85,4.69,294,89527
20120619:0600,24.99,81.2,696.95,394.48,313.55,426.45,4.69,293,89500
20120619:0700,25.33,77.35,132,0,132,430.25,3.93,284,89464
20120619:0800,25.94,75.7,86,0,86,429.85,4.28,279,89411
20120619:0900,26.37,73.95,91,0,91,436.05,4.28,278,89303
20120619:1000,27.31,68.5,190,0,190,435.05,4.62,283,89241
20120619:1100,27.31,67.45,195,6.99,191,440.25,3.86,283,89169
20120619:1200,26.74,68.6,164,51.76,145,437.45,3.52,283,89134
20120619:1300,26.73,64.4,60,61.08,51,428.25,3.59,278,89161
20120619:1400,26.42,60.65,0,0,0,412.45,3.38,274,89223
20120619:1500,26.2,57.45,0,0,0,409.45,3.31,276,89259
20120619:1600,26.16,54.95,0,0,0,415.25,3.31,280,89312
20120619:1700,26.14,54,0,0,0,419.05,3.1,282,89384
20120619:1800,26.18,53.35,0,0,0,427.85,3.03,283,89357
20120619:1900,25.7,55.45,0,0,0,422.85,3.59,280,89375
20120619:2000,24.38,63.2,0,0,0,422.65,3.93,283,89393
20120619:2100,22.75,75.65,0,0,0,422.65,3.93,289,89357
20120619:2200,21.5,87.1,0,0,0,413.45,3.93,289,89375
20120619:2300,21.42,90.15,0,0,0,411.85,4.21,286,89303
20120620:0000,21.55,90.65,0,0,0,411.85,4.34,283,89330
20120620:0100,21.88,91.55,81,148.98,58,413.65,4.41,282,89384
20120620:0200,22.26,91.55,142,21.4,134,413.85,4.14,281,89420
20120620:0300,22.69,90.4,74,0,74,416.85,5.52,281,89428
20120620:0400,23.78,83.8,215,0,215,422.85,6.34,282,89428
20120620:0500,24.97,76.8,443,48.44,400,423.05,6.55,284,89428
20120620:0600,25.89,72,619,145.11,478,427.05,6.41,286,89428
20120620:0700,27.31,65.5,261,0,261,428.85,6.14,288,89420
20120620:0800,27.13,66.65,488,47.42,442,432.25,5.59,281,89357
20120620:0900,27.45,65.4,786,547.15,302,425.85,5.79,280,89286
20120620:1000,27.94,62.55,633,480.59,273,410.85,5.93,280,89196
20120620:1100,27.68,61.8,423,321.2,239,410.65,5.45,280,89241
20120620:1200,27.04,62,276,394.14,131,412.25,4.62,277,89232
20120620:1300,26.45,62.45,60,60.74,51,407.85,3.72,274,89250
20120620:1400,25.98,62.2,0,0,0,407.25,3.38,274,89330
20120620:1500,25.83,61.3,0,0,0,410.45,3.45,277,89375
20120620:1600,25.8,60.35,0,0,0,408.65,3.52,276,89402
20120620:1700,25.84,59.3,0,0,0,410.85,3.72,277,89455
20120620:1800,25.8,58.25,0,0,0,407.25,4,281,89428
20120620:1900,25.55,59.4,0,0,0,409.05,4.48,279,89402
20120620:2000,25.25,60.8,0,0,0,417.45,4.9,279,89384
20120620:2100,24.65,66.15,0,0,0,413.05,5.1,280,89348
20120620:2200,24.11,71.95,0,0,0,410.65,5.17,282,89437
20120620:2300,23.52,76.95,0,0,0,414.05,5.24,284,89411
20120621:0000,22.88,80.9,0,0,0,408.45,5.1,284,89446
20120621:0100,22.61,83.25,10,0,10,410.45,4.28,285,89482
20120621:0200,22.92,82.2,109,2.68,108,412.05,4.76,286,89527
20120621:0300,23.46,79.75,322,103.89,262,413.85,6.28,286,89545
20120621:0400,24.3,75.85,437,108.91,355,414.05,6.41,286,89545
20120621:0500,24.82,73.55,494,82.27,421,419.65,6,284,89536
20120621:0600,25.18,72.2,567,97.79,472,422.65,5.45,282,89500
20120621:0700,27.17,64.15,190,0,190,424.45,5.38,279,89482
20120621:0800,27.71,60.9,121,0,121,431.05,5.1,277,89437
20120621:0900,27.68,59.3,88,0,88,432.05,4.83,271,89393
20120621:1000,27.38,59.45,91,0,91,430.85,4.34,263,89384
20120621:1100,27.38,58.4,65,0,65,429.05,4.14,258,89384
20120621:1200,26.92,60.05,34,0,34,426.85,3.59,249,89339
20120621:1300,26.59,59.45,23,0,23,422.85,3.66,250,89339
20120621:1400,26.55,57.8,0,0,0,423.85,3.52,253,89375
20120621:1500,26.58,56.75,0,0,0,423.45,3.52,253,89428
20120621:1600,26.49,56.5,0,0,0,421.65,3.31,254,89455
20120621:1700,26.36,56.4,0,0,0,419.25,3.17,256,89464
20120621:1800,26.25,56,0,0,0,416.65,3.24,260,89464
20120621:1900,25.56,61.25,0,0,0,408.85,3.45,250,89464
20120621:2000,25.62,59.9,0,0,0,417.05,3.93,260,89428
20120621:2100,25.47,60.8,0,0,0,418.65,4.21,268,89437
20120621:2200,24.9,64.8,0,0,0,420.25,4.21,274,89482
20120621:2300,24.15,69.4,0,0,0,415.25,4.28,274,89500
20120622:0000,23.65,71.6,0,0,0,413.45,4.41,276,89527
20120622:0100,23.27,73.45,47,13.09,45,409.65,4.21,281,89607
20120622:0200,23.19,75.05,67,0,67,414.85,4.07,283,89670
20120622:0300,23.82,74.45,202,8.67,197,413.05,5.17,284,89705
20120622:0400,24.75,71.35,218,0,218,414.85,5.1,283,89696
20120622:0500,25.95,65.8,327,6.77,321,425.85,4.9,280,89687
20120622:0600,27.03,61.2,788,381.96,417,425.65,4.69,275,89670
20120622:0700,27.24,61.05,341,2,339,429.85,3.72,272,89625
20120622:0800,27.46,60.9,406,15.46,391,426.85,3.38,268,89589
20120622:0900,27.71,59.55,145,0,145,434.65,3.24,260,89545
20120622:1000,28.23,56.4,114,0,114,432.65,3.52,254,89455
20120622:1100,28.29,54.9,169,1.74,168,430.85,3.66,250,89411
20120622:1200,28.15,54.5,88,0,88,425.65,3.38,245,89402
20120622:1300,27.61,54.85,32,0,32,427.85,3.03,241,89411
20120622:1400,27.23,54.45,0,0,0,428.45,2.9,242,89482
20120622:1500,26.91,54.4,0,0,0,425.65,2.69,244,89509
20120622:1600,26.46,55.25,0,0,0,416.25,2.14,240,89562
20120622:1700,26.02,56.3,0,0,0,413.25,2.07,239,89580
20120622:1800,25.88,55.65,0,0,0,416.05,2.48,244,89580
20120622:1900,26.28,53.75,0,0,0,423.45,3.45,262,89554
20120622:2000,26.05,54.75,0,0,0,421.45,3.86,270,89536
20120622:2100,25.52,58.7,0,0,0,419.25,4,275,89527
20120622:2200,24.99,63.3,0,0,0,421.45,3.93,279,89545
20120622:2300,24.29,68.3,0,0,0,420.05,3.79,278,89562
20120623:0000,23.92,70.25,0,0,0,416.05,3.86,275,89598
20120623:0100,23.63,71.05,10,0,10,415.65,3.93,275,89616
20120623:0200,23.57,70.95,213,145.35,159,414.45,3.72,275,89670
20120623:0300,23.66,70,410,279.45,249,416.05,4,278,89696
20120623:0400,24.21,68.35,534,252.73,344,417.25,4.21,280,89679
20120623:0500,24.97,66.35,876,789.62,176,414.25,4.21,279,89643
20120623:0600,25.62,64.8,845,493.25,366,418.45,4.21,279,89589
20120623:0700,28.38,54.55,918,593.1,325,418.05,4.62,285,89545
20120623:0800,29.44,49.35,922,672.7,269,421.25,4.41,284,89473
20120623:0900,29.76,47.5,852,720.3,214,425.65,4.07,280,89393
20120623:1000,30.14,45.65,687,635.4,210,429.65,3.93,277,89330
20120623:1100,30.08,45.1,446,384.47,225,429.65,3.66,274,89286
20120623:1200,29.77,45.4,245,251.32,152,413.65,3.17,268,89286
20120623:1300,28.75,48.6,46,13.3,44,417.25,2.14,261,89303
20120623:1400,27.79,51.1,0,0,0,414.65,1.86,259,89321
20120623:1500,27.14,52.95,0,0,0,414.45,1.86,264,89375
20120623:1600,26.94,52.85,0,0,0,421.05,2.14,265,89437
20120623:1700,26.72,52.95,0,0,0,416.65,2.41,259,89455
20120623:1800,26.48,53.55,0,0,0,417.85,2.55,255,89420
20120623:1900,26.03,55.85,0,0,0,410.45,2.28,252,89393
20120623:2000,25.75,56.85,0,0,0,406.05,2.76,264,89393
20120623:2100,25.51,58.1,0,0,0,407.45,3.1,269,89375
20120623:2200,24.98,61.05,0,0,0,396.85,3.38,274,89420
20120623:2300,24.5,64.7,0,0,0,401.05,3.52,274,89446
20120624:0000,23.9,69.15,0,0,0,392.8,3.52,275,89473
20120624:0100,23.59,72.95,40,6.62,39,389.45,3.38,274,89509
20120624:0200,23.78,73.45,278,391.18,133,386.8,3.72,271,89536
20120624:0300,24.98,68.45,501,575.25,170,383.8,4.34,272,89527
20120624:0400,26.47,62.95,707,698.88,182,389.25,4.55,271,89527
20120624:0500,27.98,56.85,866,761.76,191,397.25,4.76,269,89482
20120624:0600,29.12,51.3,963,782.77,203,404.85,4.62,264,89446
20120624:0700,30.23,46.85,998,794.13,204,415.65,4.21,259,89402
20120624:0800,30.92,43.4,973,811.61,185,418.05,4.41,255,89384
20120624:0900,30.98,42.05,861,747.08,199,423.85,4.41,253,89312
20120624:1000,30.75,41.85,699,672.24,194,425.05,4.07,251,89187
20120624:1100,30.62,41.2,417,300.65,244,425.25,3.86,249,89169
20120624:1200,30.14,42.1,207,132.19,158,416.25,3.38,246,89196
20120624:1300,29.24,44.35,75,125.84,56,418.65,2.97,244,89232
20120624:1400,28.24,47.35,0,0,0,412.05,2.97,245,89312
20120624:1500,27.4,51.25,0,0,0,403.65,2.97,244,89393
20120624:1600,26.76,55.05,0,0,0,400.85,2.97,244,89446
20120624:1700,26.36,57.85,0,0,0,403.65,3.03,246,89500
20120624:1800,26.18,59.4,0,0,0,414.85,3.17,251,89509
20120624:1900,26.3,58.3,0,0,0,405.65,3.52,261,89491
20120624:2000,25.84,61,0,0,0,405.65,3.52,262,89509
20120624:2100,25.27,64.65,0,0,0,402.45,3.45,263,89509
20120624:2200,24.82,68.1,0,0,0,409.45,3.45,265,89536
20120624:2300,24.32,71.7,0,0,0,402.85,3.45,267,89571
20120625:0000,23.89,74.4,0,0,0,400.65,3.45,269,89580
20120625:0100,23.8,76.35,27,0,27,399.05,3.1,268,89616
20120625:0200,24.35,73.7,210,140.62,158,399.65,4.41,270,89661
20120625:0300,25.6,67.8,514,629.95,152,398.05,5.52,274,89687
20120625:0400,26.36,65.45,691,648.8,204,407.65,5.17,275,89696
20120625:0500,27.33,62.5,815,618.72,267,418.05,4.97,274,89705
20120625:0600,27.96,59.65,901,621.19,298,415.45,4.9,272,89661
20120625:0700,28.4,62.1,512,51.01,461,429.85,4.21,271,89607
20120625:0800,29.32,58.95,736,295.54,449,425.45,4.14,271,89589
20120625:0900,29.79,56.1,815,618.17,267,433.45,4.14,271,89500
20120625:1000,30.21,53.2,500,194.22,354,430.65,4.14,270,89411
20120625:1100,30,51.45,237,22.57,224,422.25,4.14,270,89366
20120625:1200,29.37,51.7,122,8.08,119,420.45,3.72,266,89348
20120625:1300,28.83,52.35,47,19.79,44,417.65,3.03,258,89366
20120625:1400,28.18,53.4,0,0,0,412.65,2.62,250,89446
20120625:1500,27.59,55.2,0,0,0,409.85,2.55,242,89500
20120625:1600,27.16,56.65,0,0,0,408.25,2.69,237,89571
20120625:1700,26.83,57.6,0,0,0,403.25,3.03,240,89616
20120625:1800,26.52,58.4,0,0,0,400.45,3.31,246,89616
20120625:1900,26.4,57.3,0,0,0,402.25,3.59,254,89607
20120625:2000,25.97,58.6,0,0,0,401.25,3.93,263,89607
20120625:2100,25.38,60.65,0,0,0,402.05,4,267,89616
20120625:2200,24.7,63.35,0,0,0,395.65,4,270,89616
20120625:2300,24.1,66.15,0,0,0,393,3.93,273,89598
20120626:0000,23.53,69.55,0,0,0,384.4,3.93,276,89643
20120626:0100,23.35,73.1,65,73.8,54,382.85,3.59,280,89705
20120626:0200,23.82,73.95,269,352.39,139,384.2,4.55,282,89750
20120626:0300,25.26,69,416,299.71,244,386.2,6.14,286,89759
20120626:0400,26.63,63.15,619,441.32,288,406.85,6.07,286,89768
20120626:0500,27.9,57.8,814,617.87,267,403.05,5.59,282,89759
20120626:0600,28.96,53.25,875,560.53,331,415.45,5.17,275,89741
20120626:0700,29.58,49.75,955,682.1,273,410.65,4.9,272,89652
20120626:0800,30.58,44.45,922,672.29,269,413.85,4.9,270,89616
20120626:0900,31.18,41.45,853,720.53,214,407.25,4.83,269,89518
20120626:1000,31.35,39.8,700,672.7,194,407.45,4.76,269,89384
20120626:1100,30.94,40.1,507,596.65,163,406.65,4.55,270,89348
20120626:1200,30.19,41.75,274,368.4,137,406.85,4,270,89348
20120626:1300,29.3,44.45,60,52.59,52,410.85,2.97,267,89375
20120626:1400,28.39,47.15,0,0,0,402.85,2.41,261,89437
20120626:1500,27.6,50.1,0,0,0,399.85,2.14,248,89491
20120626:1600,27.04,52.2,0,0,0,397.85,2.34,243,89554
20120626:1700,26.9,52.6,0,0,0,406.85,2.69,247,89589
20120626:1800,26.57,53.65,0,0,0,396.45,3.17,255,89580
20120626:1900,26.4,53.9,0,0,0,393.05,3.86,264,89616
20120626:2000,25.83,57.9,0,0,0,398.65,4.07,269,89598
20120626:2100,25.14,63.1,0,0,0,393,4.07,272,89634
20120626:2200,24.38,67.65,0,0,0,385.2,3.93,275,89625
20120626:2300,23.82,70.45,0,0,0,389.4,3.79,276,89643
20120627:0000,23.31,72.8,0,0,0,386.05,3.66,276,89714
20120627:0100,23.05,75.15,80,162.13,56,378.25,3.17,277,89768
20120627:0200,23.55,73.85,275,388.6,132,376.6,4.21,280,89812
20120627:0300,25.09,67.9,469,464.13,203,381,4.97,285,89795
20120627:0400,26.59,61.45,389,65.38,340,400.45,4.9,284,89812
20120627:0500,27.55,56.75,639,253.14,415,410.05,4.62,280,89804
20120627:0600,28.72,52.9,921,672.97,268,416.05,4.41,276,89768
20120627:0700,29.77,54.05,667,174.02,493,423.45,3.93,275,89705
20120627:0800,30.5,50.6,721,271.74,457,419.05,3.79,270,89661
20120627:0900,30.98,45.9,724,402.39,367,424.65,3.66,269,89562
20120627:1000,30.84,42.85,519,225.87,349,415.85,3.59,272,89464
20120627:1100,30.76,40.5,486,512.93,190,418.05,3.38,273,89473
20120627:1200,30.15,40.95,281,397.41,133,408.25,2.9,275,89446
20120627:1300,29.38,42.95,73,104.84,57,403.25,2.14,270,89491
20120627:1400,28.33,45.85,0,0,0,400.85,1.72,262,89527
20120627:1500,27.44,48.9,0,0,0,394.6,1.66,253,89562
20120627:1600,26.78,51,0,0,0,397.65,1.79,246,89598
20120627:1700,26.25,52.55,0,0,0,392.05,1.93,244,89625
20120627:1800,25.83,53.65,0,0,0,390,2.07,248,89643
20120627:1900,25.73,51.85,0,0,0,388.8,2.28,255,89616
20120627:2000,25.49,53.9,0,0,0,390.4,2.62,266,89607
20120627:2100,25.18,58.15,0,0,0,396.65,2.9,275,89598
20120627:2200,24.76,63.2,0,0,0,395.65,3.03,280,89589
20120627:2300,24.39,67.3,0,0,0,394.85,2.97,283,89598
20120628:0000,24.08,70.4,0,0,0,395.45,2.9,286,89679
20120628:0100,24.03,73.3,79,156.47,56,396.25,2.62,288,89723
20120628:0200,24.62,72.35,222,179.81,156,397.05,3.38,287,89804
20120628:0300,25.6,68.9,420,314.51,240,396.85,3.45,290,89821
20120628:0400,27.14,62.75,663,566.23,239,400.45,3.52,295,89812
20120628:0500,28.54,56.8,850,720.18,213,401.65,3.38,296,89786
20120628:0600,30.11,49.85,952,753.5,221,408.85,3.31,294,89741
20120628:0700,30.99,49.35,982,750.09,232,428.85,2.48,296,89679
20120628:0800,31.51,46.4,881,573.22,324,425.85,2.83,287,89616
20120628:0900,31.56,45.4,853,721.1,213,437.65,2.97,288,89518
20120628:1000,31.69,43.3,667,566.99,240,438.25,2.76,289,89446
20120628:1100,31.42,41,427,322.04,241,430.65,2.76,280,89402
20120628:1200,30.66,42.1,269,340.57,142,427.85,3.03,310,89420
20120628:1300,28.68,48.8,22,0,22,416.25,1.52,337,89464
20120628:1400,28.24,57.2,0,0,0,419.65,0.21,78,89509
20120628:1500,27.26,64,0,0,0,417.05,0.62,211,89536
20120628:1600,26.6,61.4,0,0,0,412.85,1.1,231,89562
20120628:1700,26.13,62.2,0,0,0,413.05,1.31,224,89616
20120628:1800,25.75,62.3,0,0,0,408.45,1.45,233,89607
20120628:1900,25.11,65.85,0,0,0,408.25,1.52,244,89616
20120628:2000,24,73.4,0,0,0,411.85,1.38,251,89598
20120628:2100,23.52,76.35,0,0,0,408.45,1.45,255,89589
20120628:2200,23.39,76.55,0,0,0,397.25,1.93,263,89580
20120628:2300,23.39,76.7,0,0,0,398.25,2.28,270,89554
20120629:0000,23.4,77.65,0,0,0,402.05,2.21,278,89616
20120629:0100,23.68,79.05,7,0,7,401.85,2.14,285,89661
20120629:0200,24.69,76.4,173,65.56,149,401.05,2.34,289,89732
20120629:0300,25.97,71.2,384,225.71,255,410.45,3.03,295,89750
20120629:0400,27.13,66.35,624,459.77,280,415.45,2.9,299,89768
20120629:0500,27.9,62.7,836,679.79,235,413.85,2.62,302,89795
20120629:0600,28.77,59.45,766,345.38,431,427.85,2.83,293,89723
20120629:0700,29.43,55.35,875,500.06,375,425.85,3.1,312,89670
20120629:0800,30.45,52.05,850,504.17,360,423.05,2.83,318,89562
20120629:0900,31.15,49.7,854,720.83,214,428.45,2.48,322,89482
20120629:1000,31.52,48.35,701,672.84,194,428.65,2.21,324,89428
20120629:1100,31.36,48.1,500,565.71,173,428.05,2.14,325,89366
20120629:1200,30.89,46.6,283,407.12,131,429.45,2.07,318,89330
20120629:1300,29.2,50,65,65.17,55,424.85,0.97,292,89339
20120629:1400,28.54,53.95,0,0,0,424.85,0.76,238,89420
20120629:1500,27.58,58,0,0,0,412.65,1.24,240,89554
20120629:1600,27.03,59.85,0,0,0,415.25,1.52,253,89616
